[2026-04-13 10:58:53 UTC] xrun -Q -unbuffered '-timescale' '1ns/1ns' '-sysv' '-access' '+rw' design.sv testbench.sv  
TOOL:	xrun	25.03-s001: Started on Apr 13, 2026 at 06:58:54 EDT
xrun: 25.03-s001: (c) Copyright 1995-2025 Cadence Design Systems, Inc.
	Top level design units:
		tb_mos2_model
Loading snapshot worklib.tb_mos2_model:sv .................... Done
xcelium> source /xcelium25.03/tools/xcelium/files/xmsimrc
xcelium> run
=================================================
 SIMULATION 1: TRANSFER CHARACTERISTICS (Ids vs Vgs)
=================================================

--- Device: L = 500 nm ---
Vgs(V)      Ids_Vds=0.1V(A)     Ids_Vds=0.5V(A)    Ids_Vds=1.0V(A)
  1.000       1.883187e-03       6.438255e-03       8.902325e-03

=================================================
 SIMULATION 2: OUTPUT CHARACTERISTICS (Ids vs Vds)
=================================================

--- Device: L = 500 nm ---
Vds(V)      Ids_Vgs=0.1V(A)     Ids_Vgs=0.5V(A)    Ids_Vgs=1.0V(A)
--------    ----------------   ----------------   ----------------
  0.000       1.000000e-20       1.000000e-20       1.000000e-20
  0.050       5.962635e-04       6.805754e-04       7.438092e-04
  0.100       1.123093e-03       1.298043e-03       1.433154e-03
  0.150       1.587756e-03       1.857864e-03       2.071855e-03
  0.200       1.996566e-03       2.364895e-03       2.663386e-03
  0.250       2.355042e-03       2.823475e-03       3.210916e-03
  0.300       2.668023e-03       3.237487e-03       3.717337e-03
  0.350       2.939776e-03       3.610421e-03       4.185298e-03
  0.400       3.174068e-03       3.945417e-03       4.617226e-03
  0.450       3.374240e-03       4.245305e-03       5.015349e-03
  0.500       3.543269e-03       4.512641e-03       5.381717e-03
  0.550       3.683821e-03       4.749734e-03       5.718212e-03
  0.600       3.798325e-03       4.958677e-03       6.026566e-03
  0.650       3.889050e-03       5.141368e-03       6.308373e-03
  0.700       3.958202e-03       5.299547e-03       6.565101e-03
  0.750       4.008028e-03       5.434823e-03       6.798100e-03
  0.800       4.040934e-03       5.548724e-03       7.008617e-03
  0.850       4.059552e-03       5.642737e-03       7.197808e-03
  0.900       4.066748e-03       5.718374e-03       7.366749e-03
  0.950       4.065514e-03       5.777222e-03       7.516459e-03
  1.000       4.058750e-03       5.821002e-03       7.647917e-03
  1.050       4.049010e-03       5.851598e-03       7.762085e-03
  1.100       4.038290e-03       5.871046e-03       7.859937e-03
  1.150       4.027945e-03       5.881489e-03       7.942488e-03
  1.200       4.018740e-03       5.885066e-03       8.010816e-03
  1.250       4.010987e-03       5.883792e-03       8.066091e-03
  1.300       4.004709e-03       5.879434e-03       8.109580e-03
  1.350       3.999772e-03       5.873417e-03       8.142645e-03
  1.400       3.995976e-03       5.866803e-03       8.166723e-03
  1.450       3.993116e-03       5.860305e-03       8.183284e-03
  1.500       3.991003e-03       5.854349e-03       8.193774e-03
  1.550       3.989479e-03       5.849145e-03       8.199561e-03
  1.600       3.988413e-03       5.844759e-03       8.201874e-03
  1.650       3.987704e-03       5.841167e-03       8.201772e-03
  1.700       3.987271e-03       5.838298e-03       8.200115e-03
  1.750       3.987053e-03       5.836064e-03       8.197572e-03
  1.800       3.987002e-03       5.834370e-03       8.194632e-03
  1.850       3.987081e-03       5.833129e-03       8.191635e-03
  1.900       3.987262e-03       5.832264e-03       8.188799e-03
  1.950       3.987523e-03       5.831707e-03       8.186253e-03
  2.000       3.987848e-03       5.831403e-03       8.184060e-03
  2.050       3.988224e-03       5.831306e-03       8.182240e-03
  2.100       3.988639e-03       5.831376e-03       8.180786e-03
  2.150       3.989086e-03       5.831585e-03       8.179676e-03
  2.200       3.989560e-03       5.831905e-03       8.178879e-03
  2.250       3.990054e-03       5.832317e-03       8.178359e-03
  2.300       3.990565e-03       5.832805e-03       8.178083e-03
  2.350       3.991090e-03       5.833355e-03       8.178020e-03
  2.400       3.991626e-03       5.833955e-03       8.178140e-03
  2.450       3.992172e-03       5.834598e-03       8.178416e-03
  2.500       3.992725e-03       5.835276e-03       8.178827e-03

--- Device: L = 200 nm ---
Vds(V)      Ids_Vgs=0.1V(A)     Ids_Vgs=0.5V(A)    Ids_Vgs=1.0V(A)
--------    ----------------   ----------------   ----------------
  0.000       1.000000e-20       1.000000e-20       1.000000e-20
  0.050       1.323203e-03       1.443629e-03       1.509700e-03
  0.100       2.464166e-03       2.729640e-03       2.890842e-03
  0.150       3.444830e-03       3.873359e-03       4.153289e-03
  0.200       4.283799e-03       4.888003e-03       5.305704e-03
  0.250       4.997478e-03       5.785354e-03       6.355905e-03
  0.300       5.600700e-03       6.576152e-03       7.311079e-03
  0.350       6.107067e-03       7.270343e-03       8.177931e-03
  0.400       6.529110e-03       7.877232e-03       8.962785e-03
  0.450       6.878349e-03       8.405561e-03       9.671649e-03
  0.500       7.165295e-03       8.863547e-03       1.031026e-02
  0.550       7.399435e-03       9.258891e-03       1.088411e-02
  0.600       7.589224e-03       9.598772e-03       1.139843e-02
  0.650       7.742094e-03       9.889836e-03       1.185826e-02
  0.700       7.864488e-03       1.013818e-02       1.226834e-02
  0.750       7.961917e-03       1.034935e-02       1.263320e-02
  0.800       8.039041e-03       1.052836e-02       1.295711e-02
  0.850       8.099751e-03       1.067966e-02       1.324405e-02
  0.900       8.147267e-03       1.080722e-02       1.349775e-02
  0.950       8.184228e-03       1.091453e-02       1.372167e-02
  1.000       8.212783e-03       1.100461e-02       1.391897e-02
  1.050       8.234669e-03       1.108010e-02       1.409259e-02
  1.100       8.251282e-03       1.114326e-02       1.424516e-02
  1.150       8.263740e-03       1.119602e-02       1.437911e-02
  1.200       8.272936e-03       1.124005e-02       1.449659e-02
  1.250       8.279579e-03       1.127675e-02       1.459956e-02
  1.300       8.284231e-03       1.130730e-02       1.468975e-02
  1.350       8.287337e-03       1.133270e-02       1.476873e-02
  1.400       8.289251e-03       1.135379e-02       1.483787e-02
  1.450       8.290248e-03       1.137129e-02       1.489839e-02
  1.500       8.290549e-03       1.138578e-02       1.495135e-02
  1.550       8.290324e-03       1.139776e-02       1.499772e-02
  1.600       8.289710e-03       1.140765e-02       1.503831e-02
  1.650       8.288812e-03       1.141580e-02       1.507387e-02
  1.700       8.287712e-03       1.142249e-02       1.510502e-02
  1.750       8.286477e-03       1.142797e-02       1.513233e-02
  1.800       8.285154e-03       1.143244e-02       1.515629e-02
  1.850       8.283784e-03       1.143606e-02       1.517731e-02
  1.900       8.282396e-03       1.143899e-02       1.519578e-02
